lat,lon,land use
100.2250893,14.23120575,8
100.2253309,14.23013568,6
100.2259175,14.22990094,6
100.2260541,14.20057806,8
100.2261269,14.19908671,8
100.2261508,14.23199184,8
100.2264026,14.1973914,6
100.2266155,14.2025039,8
100.2266704,14.20057387,10
100.2273273,14.22925035,8
100.2273973,14.20086555,8
100.2280382,14.19888518,8
100.2283503,14.20014236,10
100.2285472,14.23278306,8
100.2287585,14.23351495,8
100.2291683,14.20763009,10
100.2291883,14.22806346,8
100.2295274,14.22197882,8
100.2308461,14.21544341,8
100.2309543,14.21624536,8
100.23123,14.21151965,8
100.231244,14.22850301,8
100.2320612,14.20457283,8
100.2320961,14.22242728,6
100.2321097,14.23341581,8
100.2333248,14.22420372,8
100.2333388,14.21068878,8
100.233372,14.22149643,8
100.2334852,14.18266645,8
100.2337008,14.19236951,8
100.2340072,14.18602677,10
100.2343956,14.17512773,6
100.234528,14.17647939,8
100.2346235,14.17506711,10
100.2347175,14.17652859,10
100.2356007,14.1905865,8
100.2356586,14.1749078,8
100.2368647,14.23688381,8
100.2374552,14.22205826,8
100.2385189,14.20219137,8
100.2388322,14.17442024,6
100.2391962,14.17652476,8
100.2394731,14.21598303,8
100.239834,14.22669832,6
100.2398446,14.17437678,6
100.2399993,14.19613181,4
100.2402894,14.23993433,6
100.240388,14.18316041,8
100.2407236,14.22840651,8
100.2410583,14.22689122,8
100.2414609,14.22596539,8
100.2416791,14.17786494,4
100.2417074,14.24933768,8
100.2418472,14.24886449,8
100.2418803,14.22554657,8
100.2419013,14.24975149,8
100.2420297,14.23215232,4
100.2421775,14.25397609,8
100.2421993,14.2266537,6
100.2422668,14.22883024,8
100.2426049,14.1952469,6
100.2427238,14.18797601,8
100.2427338,14.18336586,6
100.2427629,14.23907095,6
100.2427716,14.19389246,8
100.2428123,14.20577117,6
100.2428448,14.20275446,6
100.2428678,14.23017908,6
100.2429072,14.22406296,6
100.242919,14.22814689,6
100.2429868,14.17504613,6
100.2429997,14.21174516,6
100.2430098,14.17378641,8
100.2430179,14.21576856,6
100.2433616,14.26091368,6
100.243406,14.25646233,6
100.2434404,14.25187596,6
100.2436323,14.24698275,6
100.2437017,14.24302991,6
100.2437644,14.22739856,6
100.243806,14.21639156,6
100.2438173,14.24963193,8
100.2438475,14.22420757,6
100.2438692,14.24542928,4
100.2439603,14.2066825,6
100.243998,14.23439833,6
100.2441694,14.22218341,6
100.2443189,14.24094363,8
100.2444287,14.17792208,6
100.2444637,14.1908034,6
100.2445078,14.24204294,8
100.2445861,14.23882134,8
100.2447644,14.23640853,8
100.2448276,14.22623238,8
100.2450245,14.18185,8
100.245116,14.23173307,6
100.2452125,14.24275057,8
100.2452443,14.23280536,8
100.2454534,14.2333716,8
100.2454625,14.18020443,6
100.2455416,14.1734365,6
100.2456627,14.17827586,6
100.2461442,14.20864984,8
100.2461644,14.17335416,10
100.2461711,14.26397089,8
100.2462363,14.26316067,6
100.2465168,14.17529221,8
100.2467174,14.17339924,6
100.2467444,14.46666371,8
100.2468255,14.19182296,10
100.2468879,14.23902508,6
100.2473126,14.46790597,8
100.247376,14.23807908,6
100.2478093,14.2363162,8
100.2479151,14.46879811,6
100.2479309,14.46503497,8
100.248257,14.46672476,8
100.2486879,14.1739748,6
100.2488272,14.21589525,10
100.2494529,14.2182615,8
100.2498222,14.46729261,8
100.2501304,14.2512557,8
100.2503223,14.27893529,6
100.2505893,14.47070408,8
100.2506012,14.46163292,8
100.2506916,14.23880348,6
100.2508211,14.26871213,8
100.2511275,14.46754742,6
100.2511783,14.17650766,8
100.2515362,14.28949654,6
100.251706,14.27509243,8
100.2517965,14.2660573,4
100.251943,14.19245698,8
100.2519578,14.28475252,6
100.2521411,14.28770286,8
