FID,TB_IDN,F_AREA,TAM_Rai,FID_1,TB_IDN_1,TB_CODE,TB_TN,TB_EN,AP_IDN,AP_CODE,AP_TN,AP_EN,PV_IDN,PV_CODE,PV_TN,PV_EN,RE_NESDB,RE_ROYIN,COM_TN,TB_ID,X_text,Y_text
0,140101,12352.86211,7.720538818,316,140101,1,ประตูชัย,Pratu Chai,1401,1,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,Central,Central,ประตูชัย,140101,100.5473888,14.35265948
1,140107,353395.713,220.8723206,322,140107,7,ปากกราน,Pak Kran,1401,1,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,Central,Central,ปากกราน,140107,100.5241697,14.31163702
2,140108,713222.6264,445.7641415,323,140108,8,ภูเขาทอง,Phu Khao Thong,1401,1,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,Central,Central,ภูเขาทอง,140108,100.5432502,14.36548588
3,140110,682150.3346,426.3439591,325,140110,10,สวนพริก,Suan Phrik,1401,1,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,Central,Central,สวนพริก,140110,100.5548717,14.39658096
4,140112,423838.1626,264.8988516,327,140112,12,วัดตูม,Wat Tum,1401,1,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,Central,Central,วัดตูม,140112,100.5405039,14.38317329
5,140113,402209.5267,251.3809542,328,140113,13,หันตรา,Han Tra,1401,1,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,Central,Central,หันตรา,140113,100.6118841,14.37831721
6,140114,844422.768,527.76423,329,140114,14,ลุมพลี,Lumphli,1401,1,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,Central,Central,ลุมพลี,140114,100.5476547,14.37328451
7,140115,2932161.63,1832.601019,330,140115,15,บ้านใหม่,Ban Mai,1401,1,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,Central,Central,บ้านใหม่,140115,100.5231576,14.38814905
8,140116,292502.5628,182.8141018,331,140116,16,บ้านเกาะ,Ban Ko,1401,1,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,Central,Central,บ้านเกาะ,140116,100.5780994,14.38366122
9,140117,1079914.353,674.9464706,332,140117,17,คลองสวนพลู,Khlong Suan Phu,1401,1,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,Central,Central,คลองสวนพลู,140117,100.6014092,14.33049496
10,140118,61447.91046,38.40494404,333,140118,18,คลองสระบัว,Khlong Sa Bua,1401,1,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,Central,Central,คลองสระบัว,140118,100.5551859,14.36810148
11,140119,1405467.552,878.4172198,334,140119,19,เกาะเรียน,Ko Rian,1401,1,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,Central,Central,เกาะเรียน,140119,100.5806846,14.31442887
12,140120,855038.6342,534.3991464,335,140120,20,บ้านป้อม,Ban Pom,1401,1,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,Central,Central,บ้านป้อม,140120,100.5257618,14.33908522
13,140121,317726.4754,198.5790471,336,140121,21,บ้านรุม,Ban Run,1401,1,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,Central,Central,บ้านรุม,140121,100.5556731,14.30356618
14,140206,1215553.683,759.7210516,342,140206,6,วังแดง,Wang Daeng,1402,2,ท่าเรือ,Tha Ruea,14,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,Central,Central,วังแดง,140206,100.6178498,14.55117925
15,140302,488797.4296,305.4983935,348,140302,2,ท่าช้าง,Tha Chang,1403,3,นครหลวง,Nakhon Luang,14,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,Central,Central,ท่าช้าง,140302,100.6169437,14.54421682
16,140303,57523.7115,35.95231969,349,140303,3,บ่อโพง,Bo Phong,1403,3,นครหลวง,Nakhon Luang,14,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,Central,Central,บ่อโพง,140303,100.5824852,14.41879472
17,140306,1941854.643,1213.659152,352,140306,6,บางระกำ,Bang Rakam,1403,3,นครหลวง,Nakhon Luang,14,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,Central,Central,บางระกำ,140306,100.5810679,14.46847825
18,140307,768221.0307,480.1381442,353,140307,7,บางพระครู,Bang Phrakhru,1403,3,นครหลวง,Nakhon Luang,14,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,Central,Central,บางพระครู,140307,100.6073585,14.48997632
19,140308,964426.1373,602.7663358,354,140308,8,แม่ลา,Mae La,1403,3,นครหลวง,Nakhon Luang,14,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,Central,Central,แม่ลา,140308,100.6037679,14.50817352
20,140310,71351.14197,44.59446373,356,140310,10,คลองสะแก,Khlong Sakae,1403,3,นครหลวง,Nakhon Luang,14,14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,Central,Central,คลองสะแก,140310,100.581966,14.42211384
